State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
New Hampshire,3,3.4,3.5,6.9,6.6,6.9,10.3,6.1,10.3,10.5,12.1,16.1,13.4,13.3,25.9,28.9,24.8,23.2,26.3,28.6,42,35.8,33.9,24.1,23.2,26.7,23.6,26.5,21.1,23.8,27.2,33,33,27.3,27.1,27.4,27.3,23.4,21.5,21.4,36.7,35.3,32.4,37.2,38.5,27.9,33.1,34.3,32,34.3,34.2,38.6,35.7
New Jersey,42.7,38,45.1,52,57,55.4,63.7,82.5,123.6,135.1,169.4,220,210.1,206.2,216.6,222.6,200.3,180.4,192.6,250,303.7,334.6,307.6,269,242.4,255,268.7,232.8,245.2,273.3,301,293.1,285.2,296,288,283,235.8,210.6,186.2,174.9,161.1,165.8,162.7,154.4,150.6,151.8,153.1,144.7,146.3,133.7,134.3,138.2,128.4
New Mexico,39.5,38.8,41.1,37.8,47.2,43.6,44.8,45.5,50.5,65.1,67.6,103.1,121.6,128.8,124.6,126.7,124.7,109.6,111.6,121,127.9,140.8,126.2,114,130.3,138.1,129.5,108.3,103.1,105.2,115.1,120.3,139.3,138.4,140.8,154.5,162.4,171.4,163.4,148.2,137.4,147.2,119.1,103.1,108.4,98.3,107.2,117.9,108.4,96.1,78.2,82.7,88.6
New York,0,0,0,0,0,155.9,164.8,219.3,330.5,353.4,446.1,531.1,470.4,442.3,479.3,516,529.3,472.6,472.1,529.6,641.3,684,610.7,536.5,506.9,504.4,514.1,503.3,544.4,579.3,624.7,622.1,596.9,561.2,476.7,399.7,340,309.3,270.3,240.8,213.6,191.5,191.6,186.3,173.8,182.1,178.5,161.1,163.1,144,147.6,145.7,146.4
North Carolina,18.1,15,17.7,19,22.7,23,24.3,32.1,37.6,43.1,52.3,55.3,66.2,71.4,92.3,82.2,70.6,61.3,65.9,77.2,82.3,80.8,85.9,79.6,74.8,78.2,87.7,93.9,108.6,133.5,152.1,178,186.8,192.4,181.2,179.2,163.9,172.6,160.8,158,156.5,162.1,146.9,145.2,138,145.7,152.1,149.4,155.3,126.1,100.6,97.9,96.3
North Dakota,6.3,10.6,6.2,9.6,8.7,4.6,6.2,5.8,5.8,7.2,6.5,7.5,8.9,7.3,12.9,14.3,16.2,13.3,15.6,9.9,7.7,12.9,12.7,7.8,7.7,6.4,6.9,7.6,8.1,9.2,7.8,8,7.9,8.3,11.1,10,11,6.4,10.2,8.8,8.7,9.4,9.1,8.4,6.8,8.5,11.8,11.7,11.4,16.5,13.3,13.3,18.7
Ohio,40.1,39.6,37.9,40.7,46.2,51.6,70,95,102,126.7,145.9,163.7,160.6,143.5,191.2,220,183.8,190.5,182.6,194.8,223.7,236.9,183.6,159.4,145.6,133.1,142.1,153.1,161.4,170.9,188.5,215.2,199,192.7,187.5,178.7,164.1,158.7,133.5,128,137.5,151,156.6,147.7,152.2,162.8,169.2,160,162.9,153.1,142.9,138.6,132
Oklahoma,39.9,34.6,39.7,40.1,42.8,38.6,41.3,39.1,49.3,49.4,54.7,60.3,64.6,68.2,83.5,90.2,70.3,73.8,88.3,102.6,104.9,115.4,132.8,128.7,111.2,106.8,106.5,109.5,105.1,126.2,121.9,128.9,136.2,121.8,128.1,115.6,106.8,103.9,92,82.9,75.8,79.1,85,91.9,87.7,91.2,87.9,93.8,101.5,91.1,89,86.9,84.7
Oregon,31.8,34.8,38.3,30.3,37.6,46,45.8,65.9,76.5,86.6,102.5,110.4,109.5,99.4,130.8,130.3,132.7,124.1,131.1,130.6,152.4,180.6,167.3,170.3,168.6,185.6,205.9,196,193,151.8,144.3,150.1,151.4,129.6,138.2,137.9,122.2,117.5,105.2,86.2,84.4,79.1,77.9,79.9,76.6,68.1,73.3,76.4,70.1,65.3,63.1,57.8,61.9
Pennsylvania,33.9,35.7,39.9,41.8,44.6,52.7,50.2,57.9,85.2,90.6,108.6,141.9,149.3,138.6,159.5,168.6,138,130.3,136.7,152.2,177.9,186.6,175.4,172.3,148.4,147,152.1,144.4,138.1,149.7,176.2,193.9,180.7,179,186.7,189.3,189,156.3,164.9,155.7,147.8,142.2,139.2,145.3,149.1,154.9,169.6,156.4,151.6,138.9,128.8,126.8,122.8
Rhode Island,14.2,13.3,12.5,17.3,17.7,19,25.4,31.4,49.3,73.4,78.3,84.9,81.7,97,91,95.9,91,86.5,98.2,109.7,118.6,132,114.7,112.9,113.4,115.9,118.7,107.7,115.2,112.4,122,122.9,94.5,101.1,87.3,92.3,83.2,71.6,66.7,79.5,88,93,85.7,77.1,67.7,72.3,69.3,71.8,83.7,74.5,74.3,70.8,67.9
South Carolina,20.1,20.8,19.2,21.6,25.8,21.5,28.8,35,42.8,50,60.1,62.4,66.1,79.2,127.4,110.9,105.7,105.9,101.3,107.6,118.1,120.2,122.4,104.9,103.3,93.9,99.5,101.1,124.7,130.2,152.4,171.1,170.6,187.3,186.1,175.9,172,176.2,154.9,148.2,155,147.4,140.7,139.8,130.3,133.2,136.6,144.2,147.2,126.1,108.2,99.1,95
South Dakota,9.1,8.8,8.6,10.6,8.3,9.2,10,12.9,19.3,12.9,17.1,18.2,15.6,24.7,20.4,31,23.2,17.9,15.9,20.3,20.1,17.8,17.1,15.9,14.9,17.1,16.2,12.3,12.2,11.7,12.4,18.8,16.9,15,18.7,25.9,18.9,23.3,20.2,14,17.4,13.6,15.4,13.6,14.5,18.7,20.2,14.8,16.7,14.4,18.9,20.3,19
Tennessee,26.9,30.4,34.8,28.4,30.2,28.6,34.4,56.5,71.2,75.2,82,86.5,101.1,130.5,157.2,166.8,147.5,145.8,152.4,166.1,180.6,171.7,175.7,172.8,166.8,180.9,207.7,193.8,173.6,160.4,191.2,212.9,218.2,220.1,207.4,223.2,223.7,214,178,156.8,166.4,177.7,162.6,161,150.4,168.1,184.5,179.2,173.8,153.3,131.5,126.3,126.5
Texas,31.6,31.1,31.6,35.8,43.1,42.7,55.7,69.5,82.9,116.6,136.5,124.1,120.3,144.6,164,164.1,139,152.4,164.4,191.8,208.5,193.3,220,189.3,178.5,193.5,239.9,226.7,234.2,223.1,260.8,286.5,252.5,224.4,204.8,179.8,171.5,157,145.1,146.7,145.1,165.4,172.9,167.5,159.4,156.1,158.5,162.2,155.1,153.4,130.1,111.7,116.6
Utah,20.8,20.3,22.4,22.9,26.5,23.1,36.5,38.5,33.7,49,53.1,60.5,62.3,62.6,75.8,79,69.4,68.8,66.5,77.7,80.2,84.8,86.5,64.3,58,55.2,58.6,52.8,54.1,52.6,56.9,55.1,55.9,58.6,63.6,67.1,68.9,68.4,55.1,54.4,55.6,52.5,49.2,53.5,51.1,44,48.7,53.9,51.9,46.8,45.7,38.3,38.5
Vermont,2.3,4.1,4.6,6.9,3.2,4.5,4,1.9,6.2,9.3,7.6,9.8,10.6,8.8,13.8,15.7,17.9,30.8,14.4,28.6,38.9,27.6,23.1,27.8,23,20.9,22.2,16.8,16,18,11.7,11.8,8.9,9,12.2,10.9,15.4,13.4,9.5,10.9,19.2,17.5,12.5,10,12.6,12.2,18.3,12.7,15,17.9,12.1,15.8,17.9
Virginia,26.3,26.2,25.6,29.3,34.7,39.9,44.5,52.8,65.8,81,95.5,106.8,113.5,104.8,127.4,138.5,108.2,92.1,97.1,111.6,120.1,133.2,122.2,110.5,102.3,100.2,105.7,105.8,112.5,106.5,123.3,137.6,137.8,142,132.8,131.7,122.6,124.5,105.6,101.1,88.9,95.3,95.5,91.1,92.2,99.1,101.8,99.8,96.2,80.5,70.8,66.9,57.5
Washington,31.1,31.1,30.3,30,28.5,30.3,36.7,54.6,98.4,113,93.5,93.3,87.6,96.3,115.5,124,119.5,106.2,125,120.7,135.1,130,117.9,105.4,120.6,132,135.1,141.4,145.9,140.1,130,145.5,139.8,137.1,139.7,132.7,119,120,115.6,100.9,98.6,99,95.5,93.3,94.5,92,100.4,94,98,100.7,87.9,82.5,83.3
West Virginia,12.8,11.7,15.4,14.6,16.9,14.4,19.1,19.3,25.5,19.1,27.3,35.4,31.6,27.9,35.2,45.5,38,42.2,46.3,43.9,48.5,50.2,49.8,44.2,38.1,37.6,41,31.2,34.2,42.7,37.9,43.3,43.5,43,42.4,42.7,40.4,43.1,37.3,36.6,41.4,39.3,36.4,38.7,42.7,45,46.9,46.7,49.4,50.2,41.8,43.2,45.2
Wisconsin,8.3,9,8.5,9.7,11,11.5,12.9,28,33.1,28.3,33.1,31.5,36.7,48.7,66.3,73.4,59.3,52.2,49.9,60.5,70.7,68.6,71.2,71.9,66.4,70.2,72.8,66.4,67.1,75.2,112.7,119,119.8,113.4,112.9,105.1,96.6,100.9,85.6,84.7,84.6,82.2,86.6,80.3,73.9,82.4,100.1,97.8,91.7,86.7,79.3,80.6,80.7
Wyoming,53.3,35.8,14,21.4,13.4,17.9,21,13.7,12.4,15.9,22,20,33.9,32.9,42.6,49.5,29.2,39.7,48.1,42.2,44.4,41.9,34.3,29.8,23.1,20,22.5,20,15.1,17.1,15.9,17.2,18,17.2,16.6,17.9,20.4,17.7,16.2,15.4,14.2,17,18.6,16.7,13.2,15.3,14,16.1,16.3,14.3,13.6,12.5,10.6
United States,0,0,0,0,0,71.65032927,80.60314938,102.393793,131.6523576,147.9796963,172.1090974,187.7593441,180.4199692,182.7110767,208.8673761,219.7997557,198.3876963,190.0654707,195.2737831,217.8768231,250.9713199,258.5432481,238.7271409,216.7558801,205.6858543,208.8962981,225.6478976,213.1521019,221.5136785,233.6025235,257.06794,272.7889534,263.7411568,255.8900736,237.8161641,221.060582,202.0764197,186.5281213,165.5931518,150.3718278,144.9941672,148.4040095,146.1032428,142.4308107,136.6834618,140.6741346,149.9292038,148.2186663,145.8073862,133.0915917,119.3220703,113.8684744,112.9334552
